artist,facebook,twitter,website,genre,mtv
 Ray Ramon ,http://www.facebook.com/193006017402267,http://twitter.com/rayramonmusic,https://rayramon.com,Dance,http://www.mtv.com/artists/ray-ramon/biography
 Josh JLP Paul ,,http://www.twitter.com/http://AAMRecords.com,http://www.aamrecords.com,Hip-Hop,http://www.mtv.com/artists/josh-jlp-paul/biography
 Wayne Tate ,,,,,http://www.mtv.com/artists/wayne-tate/biography
 PREVIS ,,http://www.twitter.com/http://www.mtv.com/artists/previs/,http://www.jointchiefrec.com,Hip-Hop/Rap,http://www.mtv.com/artists/previs/biography
 Yung Saintz ,,http://www.twitter.com/http://www.yungsaintzent.com,,Christian Rap,http://www.mtv.com/artists/yung-saintz/biography
 Svavar Knutur ,,,,,http://www.mtv.com/artists/svavar-knutur/biography
 N!codemus ,http://www.twitter.com/http://www.facebook.com/The.Real.Nicodemus,http://www.twitter.com/http://www.facebook.com/The.Real.Nicodemus,,Hip-Hop,http://www.mtv.com/artists/ncodemus/biography
 Mojo Mayne ,http://www.facebook.com/195020853900146,http://twitter.com/RockitMayne,http://www.mojomayne.com,Hip-Hop/Rap,http://www.mtv.com/artists/mojo-mayne/biography
 Mariano Apicella ,,,,,http://www.mtv.com/artists/mariano-apicella/biography
 Yung Fresh aka yung bozz ,,http://twitter.com/yungfreshakayun,https://www.reverbnation.com/bronxhoodstars?profile_view_source=header_icon_nav,Hip-Hop,http://www.mtv.com/artists/yung-fresh-aka-yung-bozz/biography
 Maddi Jane ,,,,,http://www.mtv.com/artists/maddi-jane/biography
 Lenny Cooper ,,http://twitter.com/lennycooper44,,Alternative Country,http://www.cmt.com/artists/lenny-cooper/biography
 MOLA1 ,,,http://mola.com,Hip-Hop,http://www.mtv.com/artists/mola1/biography
 Billy Momo ,http://www.facebook.com/208073759070,,http://www.mobettermusic.se,Alternative,http://www.mtv.com/artists/billy-momo/biography
 Arsi Nami ,,http://twitter.com/Arsi_Nami,http://www.youtube.com/arsidottk,Dance,http://www.mtv.com/artists/arsi-nami/biography
 Orquesta Majestad ,,,,,http://www.mtv.com/artists/orquesta-majestad/biography
 Alan Paul ,,,,,http://www.mtv.com/artists/alan-paul-1/biography
 Red Mosa ,,http://www.twitter.com/beachboynino,,Hip-Hop/Rap,http://www.mtv.com/artists/red-mosa-7/biography
 Charles Pasi ,,,,,http://www.mtv.com/artists/charles-pasi/biography
 SLV ,,http://www.twitter.com/http://www.slvmusic.com,http://www.slvmusic.com,Singer/Songwriter,http://www.mtv.com/artists/slv/biography
 Kixxie Siete ,http://www.facebook.com/kixxiesiete,http://www.twitter.com/kixxiesiete,http://www.argonautix.com,Hip-Hop,http://www.mtv.com/artists/kixxie-siete/biography
 K Camp ,,,,,http://www.mtv.com/artists/k-camp/biography
 Wilson Aronilth ,,,,,http://www.mtv.com/artists/wilson-aronilth/biography
 Jilly Martin ,,http://www.twitter.com/http://www.jillymartin.com,http://www.jillymartin.com,Contemporary Country,http://www.cmt.com/artists/jilly-martin/biography
